t,sigma,chi_magnitude,chi_deviation_from_1
10.0,0.3,1.0973207102060287,0.09732071020602873
10.0,0.31,1.0922356800640423,0.09223568006404226
10.0,0.32,1.087174421172064,0.08717442117206398
10.0,0.33,1.0821368106173077,0.08213681061730771
10.0,0.34,1.077122726219488,0.07712272621948801
10.0,0.35000000000000003,1.0721320465260136,0.07213204652601357
10.0,0.36000000000000004,1.0671646508072128,0.06716465080721279
10.0,0.37000000000000005,1.0622204190515934,0.06222041905159337
10.0,0.38000000000000006,1.0572992319611336,0.05729923196113362
10.0,0.39000000000000007,1.0524009709466073,0.05240097094660734
10.0,0.4000000000000001,1.047525518122941,0.047525518122941035
10.0,0.4100000000000001,1.042672756304602,0.0426727563046021
10.0,0.4200000000000001,1.0378425690010205,0.037842569001020454
10.0,0.4300000000000001,1.0330348404120402,0.03303484041204019
10.0,0.4400000000000001,1.0282494554234052,0.02824945542340518
10.0,0.4500000000000001,1.0234862996022722,0.02348629960227222
10.0,0.46000000000000013,1.0187452591927586,0.0187452591927586
10.0,0.47000000000000014,1.0140262211115187,0.014026221111518744
10.0,0.48000000000000015,1.0093290729433504,0.009329072943350392
10.0,0.49000000000000016,1.0046537029368343,0.004653702936834314
10.0,0.5000000000000001,1.0,0.0
10.0,0.5100000000000001,0.9953678536960242,0.004632146303975793
10.0,0.5200000000000001,0.9907571542389583,0.00924284576104173
10.0,0.5300000000000001,0.9861677924894842,0.013832207510515837
10.0,0.5400000000000001,0.9815996599507002,0.0184003400492998
10.0,0.5500000000000002,0.9770526487639364,0.022947351236063618
10.0,0.5600000000000002,0.9725266517045974,0.0274733482954026
10.0,0.5700000000000002,0.9680215621780346,0.03197843782196541
10.0,0.5800000000000002,0.9635372742154467,0.03646272578455334
10.0,0.5900000000000002,0.9590736824698083,0.040926317530191714
10.0,0.6000000000000002,0.9546306822118261,0.04536931778817388
10.0,0.6100000000000002,0.9502081693259231,0.04979183067407689
10.0,0.6200000000000002,0.9458060403062508,0.05419395969374918
10.0,0.6300000000000002,0.9414241922527274,0.05857580774727256
10.0,0.6400000000000002,0.9370625228671049,0.0629374771328951
10.0,0.6500000000000002,0.9327209304490615,0.06727906955093854
10.0,0.6600000000000003,0.9283993138923218,0.07160068610767822
10.0,0.6700000000000003,0.924097572680803,0.07590242731919705
10.0,0.6800000000000003,0.9198156068847877,0.0801843931152123
10.0,0.6900000000000003,0.915553317157123,0.08444668284287704
10.0,0.7000000000000003,0.9113106047294447,0.0886893952705553
10.5,0.3,1.1080880490000249,0.10808804900002489
10.5,0.31,1.1024148884611435,0.10241488846114355
10.5,0.32,1.0967709626040143,0.0967709626040143
10.5,0.33,1.0911561099042093,0.0911561099042093
10.5,0.34,1.085570169830483,0.08557016983048293
10.5,0.35000000000000003,1.0800129828380831,0.08001298283808311
10.5,0.36000000000000004,1.0744843903621104,0.07448439036211041
10.5,0.37000000000000005,1.0689842348109238,0.06898423481092375
10.5,0.38000000000000006,1.0635123595595957,0.06351235955959567
10.5,0.39000000000000007,1.058068608943411,0.05806860894341104
10.5,0.4000000000000001,1.0526528282514154,0.05265282825141537
10.5,0.4100000000000001,1.0472648637200073,0.047264863720007266
10.5,0.4200000000000001,1.041904562526578,0.041904562526577926
10.5,0.4300000000000001,1.0365717727831942,0.036571772783194234
10.5,0.4400000000000001,1.0312663435303293,0.03126634353032931
10.5,0.4500000000000001,1.0259881247306362,0.025988124730636164
10.5,0.46000000000000013,1.020736967262766,0.02073696726276597
10.5,0.47000000000000014,1.0155127229152303,0.015512722915230315
10.5,0.48000000000000015,1.0103152443803087,0.01031524438030873
10.5,0.49000000000000016,1.0051443852479967,0.005144385247996652
10.5,0.5000000000000001,0.9999999999999999,1.1102230246251565e-16
10.5,0.5100000000000001,0.9948819440037685,0.005118055996231496
10.5,0.5200000000000001,0.9897900735065759,0.010209926493424115
10.5,0.5300000000000001,0.984724245629638,0.015275754370361994
10.5,0.5400000000000001,0.9796843183622762,0.020315681637723793
10.5,0.5500000000000002,0.9746701505561194,0.025329849443880614
10.5,0.5600000000000002,0.9696816019193494,0.03031839808065062
10.5,0.5700000000000002,0.9647185330109856,0.035281466989014354
10.5,0.5800000000000002,0.9597808052352117,0.0402191947647883
10.5,0.5900000000000002,0.9548682808357408,0.045131719164259176
10.5,0.6000000000000002,0.9499808228902228,0.05001917710977721
10.5,0.6100000000000002,0.9451182953046886,0.054881704695311395
10.5,0.6200000000000002,0.9402805628080368,0.059719437191963154
10.5,0.6300000000000002,0.9354674909465568,0.06453250905344321
10.5,0.6400000000000002,0.930678946078492,0.069321053921508
10.5,0.6500000000000002,0.9259147953686415,0.07408520463135848
10.5,0.6600000000000003,0.9211749067829993,0.07882509321700071
10.5,0.6700000000000003,0.9164591490834323,0.08354085091656771
10.5,0.6800000000000003,0.9117673918223951,0.08823260817760492
10.5,0.6900000000000003,0.9070995053376826,0.09290049466231742
10.5,0.7000000000000003,0.9024553607472193,0.09754463925278067
11.0,0.3,1.1184521402117689,0.11845214021176886
11.0,0.31,1.1122081945256796,0.11220819452567965
11.0,0.32,1.1059992806858143,0.10599928068581432
11.0,0.33,1.0998251920780424,0.09982519207804241
11.0,0.34,1.0936857234096256,0.09368572340962555
11.0,0.35000000000000003,1.0875806707000668,0.08758067070006681
11.0,0.36000000000000004,1.0815098312720264,0.08150983127202638
11.0,0.37000000000000005,1.0754730037423041,0.07547300374230415
11.0,0.38000000000000006,1.0694699880128897,0.06946998801288973
11.0,0.39000000000000007,1.063500585262077,0.06350058526207691
11.0,0.4000000000000001,1.0575645979356447,0.057564597935644723
11.0,0.4100000000000001,1.0516618297381022,0.05166182973810218
11.0,0.4200000000000001,1.0457920856239988,0.045792085623998835
11.0,0.4300000000000001,1.0399551717892972,0.039955171789297195
11.0,0.4400000000000001,1.0341508956628098,0.03415089566280982
11.0,0.4500000000000001,1.0283790658977001,0.028379065897700118
11.0,0.46000000000000013,1.0226394923630424,0.022639492363042413
11.0,0.47000000000000014,1.0169319861354473,0.01693198613544733
11.0,0.48000000000000015,1.0112563594907469,0.011256359490746881
11.0,0.49000000000000016,1.00561242589574,0.005612425895739959
11.0,0.5000000000000001,0.9999999999999999,1.1102230246251565e-16
11.0,0.5100000000000001,0.9944188976277407,0.005581102372259283
