t,sigma,chi_magnitude,chi_deviation_from_1
14.134725,0.3,1.175997152923767,0.17599715292376694
14.134725,0.31,1.1665025379964074,0.16650253799640735
14.134725,0.32,1.1570846896292837,0.15708468962928368
14.134725,0.33,1.1477429805067112,0.1477429805067112
14.134725,0.34,1.1384767885382483,0.1384767885382483
14.134725,0.35000000000000003,1.1292854968140504,0.12928549681405044
14.134725,0.36000000000000004,1.1201684935606169,0.12016849356061687
14.134725,0.37000000000000005,1.111125172096926,0.11112517209692596
14.134725,0.38000000000000006,1.1021549307909575,0.1021549307909575
14.134725,0.39000000000000007,1.0932571730165954,0.09325717301659542
14.134725,0.4000000000000001,1.0844313071109097,0.08443130711090974
14.134725,0.4100000000000001,1.0756767463318146,0.07567674633181465
14.134725,0.4200000000000001,1.0669929088160972,0.06699290881609721
14.134725,0.4300000000000001,1.0583792175378142,0.058379217537814165
14.134725,0.4400000000000001,1.049835100267056,0.049835100267056065
14.134725,0.4500000000000001,1.0413599895290704,0.041359989529070385
14.134725,0.46000000000000013,1.032953322563745,0.03295332256374506
14.134725,0.47000000000000014,1.0246145412854468,0.024614541285446823
14.134725,0.48000000000000015,1.0163430922432115,0.01634309224321151
14.134725,0.49000000000000016,1.0081384265812834,0.008138426581283387
14.134725,0.5000000000000001,0.9999999999999999,1.1102230246251565e-16
14.134725,0.5100000000000001,0.9919272727170196,0.008072727282980363
14.134725,0.5200000000000001,0.9839197094288895,0.01608029057111049
14.134725,0.5300000000000001,0.9759767792729483,0.024023220727051653
14.134725,0.5400000000000001,0.9680979557895641,0.031902044210435854
14.134725,0.5500000000000002,0.9602827168847012,0.03971728311529876
14.134725,0.5600000000000002,0.9525305447928162,0.04746945520718382
14.134725,0.5700000000000002,0.9448409260400763,0.0551590739599237
14.134725,0.5800000000000002,0.9372133514079014,0.06278664859209859
14.134725,0.5900000000000002,0.9296473158968234,0.07035268410317663
14.134725,0.6000000000000002,0.9221423186906621,0.0778576813093379
14.134725,0.6100000000000002,0.9146978631210134,0.08530213687898658
14.134725,0.6200000000000002,0.9073134566320484,0.09268654336795157
14.134725,0.6300000000000002,0.8999886107456195,0.10001138925438047
14.134725,0.6400000000000002,0.8927228410266708,0.10727715897332923
14.134725,0.6500000000000002,0.8855156670489509,0.1144843329510491
14.134725,0.6600000000000003,0.8783666123610246,0.12163338763897535
14.134725,0.6700000000000003,0.8712752044525813,0.12872479554741867
14.134725,0.6800000000000003,0.8642409747210362,0.13575902527896377
14.134725,0.6900000000000003,0.8572634584384244,0.14273654156157556
14.134725,0.7000000000000003,0.850342194718582,0.14965780528141803
21.02204,0.3,1.2731867676078574,0.27318676760785743
21.02204,0.31,1.2579036840421784,0.25790368404217845
21.02204,0.32,1.2428041090644761,0.24280410906447614
21.02204,0.33,1.2278858358109332,0.22788583581093325
21.02204,0.34,1.2131466840316285,0.2131466840316285
21.02204,0.35000000000000003,1.1985844997683022,0.19858449976830217
21.02204,0.36000000000000004,1.184197155036042,0.18419715503604195
21.02204,0.37000000000000005,1.169982547508843,0.169982547508843
21.02204,0.38000000000000006,1.1559386002089937,0.15593860020899375
21.02204,0.39000000000000007,1.1420632612002404,0.14206326120024038
21.02204,0.4000000000000001,1.1283545032846862,0.12835450328468623
21.02204,0.4100000000000001,1.1148103237033749,0.11481032370337485
21.02204,0.4200000000000001,1.1014287438405197,0.1014287438405197
21.02204,0.4300000000000001,1.0882078089313272,0.08820780893132718
21.02204,0.4400000000000001,1.0751455877733762,0.07514558777337621
21.02204,0.4500000000000001,1.0622401724415067,0.0622401724415067
21.02204,0.46000000000000013,1.0494896780061744,0.04948967800617443
21.02204,0.47000000000000014,1.0368922422552322,0.036892242255232244
21.02204,0.48000000000000015,1.0244460254190928,0.0244460254190928
21.02204,0.49000000000000016,1.012149209899233,0.012149209899233071
21.02204,0.5000000000000001,0.9999999999999999,1.1102230246251565e-16
21.02204,0.5100000000000001,0.9879966216636745,0.012003378336325476
21.02204,0.5200000000000001,0.9761373222087592,0.02386267779124085
21.02204,0.5300000000000001,0.9644203700714432,0.03557962992855679
21.02204,0.5400000000000001,0.952844054550212,0.04715594544978796
21.02204,0.5500000000000002,0.941406685553559,0.058593314446441
21.02204,0.5600000000000002,0.930106593350764,0.06989340664923605
21.02204,0.5700000000000002,0.9189421283256993,0.08105787167430067
21.02204,0.5800000000000002,0.9079116607336278,0.09208833926637217
21.02204,0.5900000000000002,0.8970135804609543,0.10298641953904575
21.02204,0.6000000000000002,0.8862462967878967,0.11375370321210332
21.02204,0.6100000000000002,0.8756082381540399,0.12439176184596012
21.02204,0.6200000000000002,0.865097851926737,0.13490214807326295
21.02204,0.6300000000000002,0.8547136041723232,0.14528639582767677
21.02204,0.6400000000000002,0.8444539794301092,0.15554602056989075
21.02204,0.6500000000000002,0.8343174804891179,0.1656825195108821
21.02204,0.6600000000000003,0.8243026281675334,0.1756973718324666
21.02204,0.6700000000000003,0.8144079610948269,0.18559203890517306
21.02204,0.6800000000000003,0.804632035496529,0.19536796450347105
21.02204,0.6900000000000003,0.7949734249816133,0.20502657501838673
21.02204,0.7000000000000003,0.7854307203324631,0.21456927966753692
25.010858,0.3,1.318210854105465,0.3182108541054649
25.010858,0.31,1.3001263290725644,0.3001263290725644
25.010858,0.32,1.282289944466966,0.282289944466966
25.010858,0.33,1.2646982929607213,0.26469829296072134
25.010858,0.34,1.2473480140761848,0.24734801407618479
25.010858,0.35000000000000003,1.230235793540592,0.2302357935405921
25.010858,0.36000000000000004,1.2133583626495519,0.21335836264955188
25.010858,0.37000000000000005,1.1967124976393269,0.19671249763932686
25.010858,0.38000000000000006,1.1802950190677846,0.18029501906778456
25.010858,0.39000000000000007,1.1641027912038953,0.16410279120389526
25.010858,0.4000000000000001,1.1481327214256598,0.1481327214256598
25.010858,0.4100000000000001,1.132381759626351,0.13238175962635101
25.010858,0.4200000000000001,1.1168468976289532,0.11684689762895317
25.010858,0.4300000000000001,1.1015251686086853,0.10152516860868532
25.010858,0.4400000000000001,1.086413646523497,0.08641364652349703
25.010858,0.4500000000000001,1.0715094455524279,0.07150944555242789
25.010858,0.46000000000000013,1.0568097195417174,0.05680971954171743
25.010858,0.47000000000000014,1.0423116614585644,0.042311661458564354
25.010858,0.48000000000000015,1.0280125028524225,0.028012502852422516
25.010858,0.49000000000000016,1.013909513323735,0.013909513323735023
25.010858,0.5000000000000001,0.9999999999999999,1.1102230246251565e-16
25.010858,0.5100000000000001,0.9862813070190671,0.013718692980932867
25.010858,0.5200000000000001,0.9727508150195676,0.027249184980432384
25.010858,0.5300000000000001,0.9594059406383733,0.040594059361626744
25.010858,0.5400000000000001,0.946244136014993,0.05375586398500698
25.010858,0.5500000000000002,0.9332628883028083,0.06673711169719165
25.010858,0.5600000000000002,0.9204597191870523,0.07954028081294773
25.010858,0.5700000000000002,0.9078321844094401,0.09216781559055987
25.010858,0.5800000000000002,0.8953778732993595,0.10462212670064053
25.010858,0.5900000000000002,0.8830944083115282,0.11690559168847181
25.010858,0.6000000000000002,0.8709794445700313,0.1290205554299687
25.010858,0.6100000000000002,0.8590306694186488,0.1409693305813512
25.010858,0.6200000000000002,0.8472458019773864,0.15275419802261359
25.010858,0.6300000000000002,0.8356225927051246,0.16437740729487538
25.010858,0.6400000000000002,0.8241588229683011,0.17584117703169888
25.010858,0.6500000000000002,0.8128523046155414,0.18714769538445863
25.010858,0.6600000000000003,0.8017008795581585,0.1982991204418415
25.010858,0.6700000000000003,0.790702419356438,0.20929758064356196
25.010858,0.6800000000000003,0.7798548248116293,0.22014517518837073
25.010858,0.6900000000000003,0.7691560255635638,0.23084397443643623
25.010858,0.7000000000000003,0.7586039796938233,0.24139602030617668
30.424876,0.3,1.3709022997072295,0.37090229970722954
30.424876,0.31,1.3494478998482717,0.34944789984827174
30.424876,0.32,1.3283292851574993,0.32832928515749926
30.424876,0.33,1.3075411983848648,0.3075411983848648
30.424876,0.34,1.287078464641786,0.2870784646417861
30.424876,0.35000000000000003,1.2669359901097113,0.26693599010971125
30.424876,0.36000000000000004,1.2471087607689546,0.2471087607689546
30.424876,0.37000000000000005,1.2275918411474875,0.22759184114748754
30.424876,0.38000000000000006,1.2083803730893712,0.20838037308937118
30.424876,0.39000000000000007,1.1894695745425194,0.18946957454251945
30.424876,0.4000000000000001,1.170854738365491,0.17085473836549103
30.424876,0.4100000000000001,1.15253123115301,0.15253123115301004
30.424876,0.4200000000000001,1.134494492079921,0.13449449207992092
30.424876,0.4300000000000001,1.1167400317632896,0.11674003176328962
30.424876,0.4400000000000001,1.099263431142362,0.09926343114236191
30.424876,0.4500000000000001,1.0820603403761038,0.08206034037610377
30.424876,0.46000000000000013,1.0651264777580411,0.06512647775804115
30.424876,0.47000000000000014,1.0484576286481333,0.0484576286481333
30.424876,0.48000000000000015,1.0320496444214071,0.03204964442140712
30.424876,0.49000000000000016,1.0158984414330932,0.015898441433093158
30.424876,0.5000000000000001,0.9999999999999998,2.220446049250313e-16
30.424876,0.5100000000000001,0.9843503633978746,0.015649636602125372
30.424876,0.5200000000000001,0.9689456368744981,0.031054363125501916
30.424876,0.5300000000000001,0.9537819866782654,0.046218013321734586
30.424876,0.5400000000000001,0.9388556391020109,0.061144360897989136
30.424876,0.5500000000000002,0.9241628795418363,0.07583712045816371
30.424876,0.5600000000000002,0.9097000515707074,0.09029994842929256
30.424876,0.5700000000000002,0.8954635560265876,0.10453644397341244
30.424876,0.5800000000000002,0.8814498501148768,0.11855014988512325
30.424876,0.5900000000000002,0.8676554465249364,0.13234455347506358
30.424876,0.6000000000000002,0.8540769125604735,0.14592308743952653
30.424876,0.6100000000000002,0.8407108692835699,0.15928913071643014
30.424876,0.6200000000000002,0.8275539906721409,0.17244600932785914
30.424876,0.6300000000000002,0.8146030027906122,0.18539699720938785
30.424876,0.6400000000000002,0.8018546829736083,0.1981453170263917
30.424876,0.6500000000000002,0.7893058590224465,0.21069414097755346
30.424876,0.6600000000000003,0.7769534084142377,0.22304659158576234
30.424876,0.6700000000000003,0.7647942575233926,0.23520574247660742
30.424876,0.6800000000000003,0.7528253808553427,0.24717461914465733
30.424876,0.6900000000000003,0.7410438002922802,0.25895619970771977
30.424876,0.7000000000000003,0.7294465843507302,0.2705534156492698
32.935062,0.3,1.3928133485270053,0.39281334852700533
32.935062,0.31,1.3699295221488705,0.36992952214887054
32.935062,0.32,1.3474216990516268,0.3474216990516268
32.935062,0.33,1.3252836995299009,0.3252836995299009
32.935062,0.34,1.3035094454897844,0.3035094454897844
32.935062,0.35000000000000003,1.2820929587769663,0.2820929587769663
32.935062,0.36000000000000004,1.2610283595324003,0.26102835953240033
32.935062,0.37000000000000005,1.2403098645750459,0.24030986457504588
32.935062,0.38000000000000006,1.219931785811244,0.21993178581124395
32.935062,0.39000000000000007,1.1998885286702818,0.19988852867028184
32.935062,0.4000000000000001,1.180174590565721,0.18017459056572105
32.935062,0.4100000000000001,1.1607845593820594,0.16078455938205938
32.935062,0.4200000000000001,1.1417131119863113,0.1417131119863113
32.935062,0.4300000000000001,1.122955012764098,0.12295501276409793
32.935062,0.4400000000000001,1.1045051121798373,0.10450511217983727
32.935062,0.4500000000000001,1.0863583453606431,0.08635834536064313
32.935062,0.46000000000000013,1.0685097307035392,0.06850973070353916
32.935062,0.47000000000000014,1.0509543685056042,0.0509543685056042
32.935062,0.48000000000000015,1.0336874396166702,0.0336874396166702
